1x,1y - 2x,2y

Horizontals
 0, 2 - 1, 2
 0, 8 - 1, 8
 1, 9 - 3, 9
 2, 5 - 4, 5
 3, 1 - 9, 1
 3, 3 - 4, 3
 3, 8 - 4, 8
 4, 4 - 8, 4
 4, 6 - 5, 6
 4, 7 - 9, 7
 4, 9 - 5, 9
 5, 5 - 7, 5
 5, 8 - 8, 8
 6, 3 - 9, 3
 7, 6 - 8, 6
 7, 9 - 9, 9
 8, 2 - 10,2
 8, 5 - 9, 5
 9, 4 - 10,4
 9, 8 - 10,8


Verticals
 1, 0 - 1, 1
 1, 2 - 1, 3
 1, 4 - 1, 8
 2, 1 - 2, 9
 3, 1 - 3, 4
 3, 5 - 3, 8
 4, 2 - 4, 3
 4, 4 - 4, 5
 4, 6 - 4, 7
 4, 8 - 4,10
 5, 1 - 5, 4
 5, 5 - 5, 6
 6, 2 - 6, 3
 6, 6 - 6, 7
 6, 8 - 6,10
 7, 1 - 7, 2
 7, 5 - 7, 6
 8, 2 - 8, 3
 9, 4 - 9, 7
 9, 8 - 9, 9
